date,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,init_values,steady_state
2013.75,-0.000126335116931891,-0.000148079089018547,-2.09014267945821e-08,-7.10244693709981e-06,-0.000947240096645752,-0.000197593076959474,-3.28955184171135e-07,-1.11019162787396e-07,-0.00313527991614969,-7.66997083873761e-06,-0.00456976058925494
2014,-5.80928199210263e-05,-0.000147586369947025,9.8908962199503e-07,-7.18514337923504e-06,-0.00110998047298044,-0.000172160831925372,-3.65370060612197e-07,5.25360793953236e-06,-0.00193027905424982,-8.30454348890904e-06,-0.00342771190839091
2014.25,6.30140574250494e-06,-0.000143482919233239,-2.94588169052332e-06,-6.54733150426599e-06,-0.00148889508979639,-0.000190898961588757,-3.54046955670282e-07,-1.56472245730772e-05,-0.000904548665590603,-8.88311144046396e-06,-0.00275590182663048
2014.5,-0.000109768691661997,-0.000141735278859788,1.50310375119835e-06,-3.46181794285127e-06,-0.00066412088892254,-0.00025314269466858,-7.79739626228771e-08,7.98382434274117e-06,-0.00130166331564523,-9.41046519056365e-06,-0.00247389419876023
2014.75,-6.50667447814973e-05,-0.000149448634007265,-1.4968127897549e-07,-5.18809311482097e-06,-0.00122020576390808,-0.000244642854048751,-2.13843730637698e-07,-7.95040952951052e-07,-0.00574787686555894,-9.89087487672513e-06,-0.00744347839625865
2015,-0.000101241785573386,-0.000153575637777718,-2.18045688258211e-06,-4.93681643852121e-06,-0.00117936941350923,-0.000279893462343914,-1.75815269004379e-07,-1.15816255022832e-05,-0.00594317113978848,-1.0328161269702e-05,-0.00768645431435482
2015.25,-0.000159589444582603,-0.000161078437009706,7.10456250649697e-07,-4.42480195154319e-06,-0.000619251357586042,-0.000270268718964892,-8.57929096193242e-08,3.77363033248207e-06,0.00828297302199408,-1.07257562402324e-05,0.00706203279933257
2015.5,-0.000234023629622378,-0.000170063373479461,1.75000661501748e-06,-5.61026811285385e-06,-0.000677020585054688,-0.00030804510941897,-1.23591262237972e-07,9.29526348516896e-06,-0.0019608238989104,-1.10867542595016e-05,-0.00335575194002031
2015.75,-6.74035805021171e-05,-0.000178708730874325,-3.74212341376562e-06,-1.0093480605776e-05,-0.00195192803533872,-0.000251977874426331,-5.22559189632241e-07,-1.98765095094363e-05,-0.00880489160724851,-1.14139562673622e-05,-0.011300558457376
2016,-6.50630172015699e-05,-0.000175401234855967,-3.54828414817279e-06,-7.8720361276458e-06,-0.00200996390932705,-0.000305874206640881,-3.68015038421907e-07,-1.88469208027449e-05,-0.00868254527757079,-1.17099070496528e-05,-0.0112811928087629
2016.25,-0.000107887147050798,-0.000177777314152991,-2.59902579475245e-06,-5.6302401651638e-06,-0.00143462780734629,-0.000315898128301747,-1.62261789984772e-07,-1.38048789985478e-05,0.00763502543840104,-1.19769270987714e-05,0.005564661707702
2016.5,-0.00024699478451222,-0.000185311487954443,-7.95772749333868e-08,-4.89536496114068e-06,-0.000982233231844747,-0.00038038912122003,-2.22284607885821e-08,-4.22679395374803e-07,0.00274645927269509,-1.22171397889299e-05,0.000933893657282482
2016.75,-0.000163180994284126,-0.000198634387028296,-3.77380133268889e-06,-9.57694234952012e-06,-0.00191297141870191,-0.00034123121046446,-3.89407278378923e-07,-2.00447686465886e-05,-0.00303117425043519,-1.24324945749545e-05,-0.00569340967509612
2017,-0.000138781816146195,-0.000201777843830146,-2.01729290287735e-06,-9.7415838395259e-06,-0.0020084248869099,-0.000339100197981578,-4.11270994566462e-07,-1.07149703881656e-05,-0.00146606594533811,-1.26247868182782e-05,-0.00418966059514934
2017.25,-0.000249967595624278,-0.000204678731956495,2.96807631043842e-06,-7.60142892783605e-06,-0.000999809475731083,-0.000348981378549507,-1.96923736208193e-07,1.5765112607496e-05,0.00646100623592213,-1.2795674753689e-05,0.00465570821556097
2017.5,-0.000366112540722404,-0.000213457588435633,5.84599735261883e-06,-8.15045818323302e-06,-0.000644973836284386,-0.000363310976489875,-1.80320125513208e-07,3.10513601833725e-05,0.0032474899515199,-1.29466940336654e-05,0.00167525489478118
2017.75,-0.000151408009350187,-0.000220841698284666,-3.35467701035995e-06,-1.38802071910521e-05,-0.00276133169037112,-0.000309721629792203,-7.15958940344627e-07,-1.78185650564661e-05,-0.00338149107419131,-1.30792702212812e-05,-0.00687364278040898
2018,-5.16267108086062e-05,-0.000211159046063078,-8.93862629337448e-06,-1.14576926093869e-05,-0.00311145991145819,-0.000310976055757352,-6.06432217880241e-07,-4.74780414424578e-05,-0.000454932639518128,-1.31947295466429e-05,-0.00422182988571509
2018.25,-0.000126565735525133,-0.000201933298780155,-2.29074742827983e-06,-6.64262572926795e-06,-0.00195948954638559,-0.000327205017159365,-2.24849222146898e-07,-1.21674402491453e-05,0.011697847023438,-1.32943081936846e-05,0.00904803345476527
2018.5,-0.000243999588301413,-0.000201807695644832,-1.2877673114899e-07,-5.34763478644631e-06,-0.00116650084783616,-0.000340249976447802,-7.88187683366675e-08,-6.84005212618474e-07,0.00648684254318258,-1.33791603437574e-05,0.00451466603911007
2018.75,-9.58865338507875e-05,-0.000204216967358245,-3.54919237196638e-06,-9.71134633961444e-06,-0.00230936824687969,-0.000270571233298476,-4.86856765137501e-07,-1.88517448870615e-05,-0.00505019595311131,-1.34503651673806e-05,-0.00797628844002967
2019,-2.88835360695689e-05,-0.00019358926599017,-3.64386799290577e-06,-8.29313957591096e-06,-0.00252437904853875,-0.000267066941085682,-4.54801742984932e-07,-1.93546200389046e-05,-0.0062984293242511,-1.35089329262005e-05,-0.00935760347821217
2019.25,-9.34416540742489e-05,-0.000183441792899076,-4.5959174663964e-07,-4.02950489026154e-06,-0.00152649311639528,-0.000266115431200113,-1.3524471465248e-07,-2.44114870421886e-06,0.0109862209514262,-1.35558103217959e-05,0.00889610765647992
2019.5,-0.000145092904968341,-0.000179992933912255,-2.30358453920388e-06,-3.16093409924512e-06,-0.00198830680860665,-0.000331889049448158,-7.2376726081622e-08,-1.2235625321935e-05,0.00279651904038915,-1.35918852070568e-05,0.000119872937560219
2019.75,-3.35688780081849e-05,-0.000179154905326329,-5.17235478404649e-06,-4.91273003406826e-06,-0.00242039978898494,-0.00025355319156503,-2.62076786926142e-07,-2.74732678973366e-05,-0.00411741196386101,-1.36179907571253e-05,-0.00705552714800499
2020,1.64890500764656e-05,-0.000168058393523765,-8.29415373929973e-06,-1.17076404513639e-06,-0.0019773913825671,-0.000205479160976838,4.79059773536683e-08,-4.40548874111088e-05,-0.00489948023779186,-1.36349091824743e-05,-0.00730102693318376
2020.25,-8.95498438209246e-07,-0.000155620906647351,-2.54039135209949e-05,4.19180652792806e-06,-0.00090709377731872,-0.000163735241115566,6.81732456866626e-07,-0.000134934386936438,0.00194137214466611,-1.36433750524989e-05,0.000544918584621127
2020.5,7.0025127843194e-05,-0.000146564099440796,-5.09030142503174e-06,-1.20584085454032e-05,-0.00284197691743304,-0.000306324314429764,-6.17725123200382e-07,-2.70374366351343e-05,-0.00271289663543755,-1.36440782881045e-05,-0.00599618478891484
2020.75,8.94357467311628e-05,-0.000143780269529425,-5.85354615254404e-06,-8.33640087415151e-06,-0.00289028317481126,-0.000334238393129463,-3.8091639221272e-07,-3.10914560799817e-05,-0.00623220600463713,-1.36376668719174e-05,-0.00957037208174693
2021,-0.000120194766461305,-0.000146583092149405,-1.48377333942108e-06,-2.92576219290765e-06,-0.000955792621411344,-0.000358435651787565,1.24145600612785e-07,-7.88114971899689e-06,0.0120969475082755,-1.36247493165709e-05,0.0104901500874986
2021.25,-0.000195946366182935,-0.000161641294448005,-1.79103758082302e-06,-5.74226996206219e-06,-0.00187580615838977,-0.00043159139052157,-4.27485909627799e-08,-9.51320188319583e-06,0.0104613658692446,-1.36058969260385e-05,0.00776568550475926
2021.5,-0.000288541784954382,-0.000178238924160033,-4.73117899231949e-06,-8.39962424610648e-06,-0.00192628789999584,-0.000446927780991212,-2.12711060997928e-07,-2.51299366252205e-05,0.00849279003234594,-1.35816458779886e-05,0.00560073854544184
2021.75,-0.000388479738994704,-0.000194547567687906,-7.61742824412806e-06,-8.80558859292931e-06,-0.0022496292947004,-0.000481240783936811,-2.02724654950619e-07,-4.04604199783732e-05,0.0101380857699718,-1.35524991515517e-05,0.00675354972403
2022,-0.000602839378358681,-0.000211710643564208,-4.90159597667596e-06,-8.03400757904846e-06,-0.00154713068546455,-0.000500046999685054,-2.74760377610584e-08,-2.60351165018839e-05,0.021896314600662,-1.35189283203621e-05,0.0189820697691738
2022.25,-0.000681109235313388,-0.000229606922893277,-2.09936370805163e-06,-1.23335459353379e-05,-0.000933350906480013,-0.000362395843184124,-2.79134046011651e-07,-1.11508943166752e-05,0.0284270622767625,-1.34813752276988e-05,0.0261812550556579
2022.5,-0.0006373891561054,-0.000229344079948285,1.30317678674625e-05,-1.68151728032387e-05,0.00129103930935016,-1.06277577205101e-05,-6.14263671205734e-07,6.92190046403973e-05,0.0156002974748403,-1.34402535576505e-05,0.016065356872892
2022.75,-0.000392904032807439,-0.00019726180078972,2.47165291153764e-05,-2.00592285265468e-05,0.00328285911822716,0.000424048922798376,-9.85017357955597e-07,0.000131283304071384,0.0129595968310686,-1.33959503141254e-05,0.0161978986754851
